PARCELID,Shape_Leng,Shape_Area,PARID2,parid3,Dwelling — Sheet1_MAP ROUTING,Dwelling — Sheet1_CARD,Dwelling — Sheet1_RMTOT,Dwelling — Sheet1_RMBED,Dwelling — Sheet1_RMFAM,Dwelling — Sheet1_RMDIN,Dwelling — Sheet1_FIXBATH,Dwelling — Sheet1_FIXHALF,Dwelling — Sheet1_LIVUNITS,Dwelling — Sheet1_STYLE,Dwelling — Sheet1_STORIES,Dwelling — Sheet1_ATTIC,Dwelling — Sheet1_BSMT,Dwelling — Sheet1_FINBSMTAREA,Dwelling — Sheet1_EXTWALL,Dwelling — Sheet1_UNFINAREA,Dwelling — Sheet1_RECROMAREA,Dwelling — Sheet1_HEAT,Dwelling — Sheet1_FIXADDL,Dwelling — Sheet1_FIXTOT,Dwelling — Sheet1_WBFP_S,Dwelling — Sheet1_WBFP_O,Dwelling — Sheet1_CARSPACESATT,Dwelling — Sheet1_CARSPACESBSMT,Dwelling — Sheet1_CARPORTSPACES,Dwelling — Sheet1_GRADE,Dwelling — Sheet1_WELLSEPTIC,Dwelling — Sheet1_YRBLT,Dwelling — Sheet1_YRREMOD,Dwelling — Sheet1_EFFYR,Dwelling — Sheet1_COND,Dwelling — Sheet1_AREAFACT,Dwelling — Sheet1_ADJAREA,Dwelling — Sheet1_SHFACT,Dwelling — Sheet1_CNSTFACT,Dwelling — Sheet1_GRDFACT,Dwelling — Sheet1_DEPR,Dwelling — Sheet1_MKTADJ,Dwelling — Sheet1_MGFA,Dwelling — Sheet1_ADDNAREA,Dwelling — Sheet1_SFLA,Dwelling — Sheet1_FLR1AREA,Dwelling — Sheet1_ADJRCNLD,Value — Sheet1_TaxYear,Value — Sheet1_ValueType,Value — Sheet1_LUC,Value — Sheet1_LUCDesc,Value — Sheet1_MarketLand,Value — Sheet1_MarketImpr,Value — Sheet1_CauvLand,Value — Sheet1_TaxableLand,Value — Sheet1_TaxableImpr
"050-008882",440.10211057500,11702.43575430000,"050-008882","050-008882-00","050-N044KAA-26900",1,8,4,1,,2,1,"1","09 - COLONIAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,800,92 - 2/6 MASONRY TO FRAME .333,,0,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B+1 - GOOD +,,2002,,,A - AVERAGE,0.902,1032,1.69,1.054,1.3,70,,1032,838,2902,1049,463600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,463600,0,39760,162260
"050-008883",440.35449891700,11716.96584920000,"050-008883","050-008883-00","050-N044KAA-27000",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2004,,,A - AVERAGE,0.932,1084,1.69,1,1.2,71,,1084,336,2504,1099,309300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,309300,0,39760,108260
"050-008884",488.46580676400,15604.26338560000,"050-008884","050-008884-00","050-N044KAA-27100",1,8,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B+1 - GOOD +,,2001,,,A - AVERAGE,1.054,1292,1.69,1.027,1.3,69,,1292,241,2825,1300,348400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,348400,0,38500,121940
"050-008885",463.48373246900,12760.46851480000,"050-008885","050-008885-00","050-N044KAA-27200",1,9,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.849,942,1.69,1.054,1.15,70,,942,432,2316,956,296500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,296500,0,38500,103780
"050-008886",440.92546406300,11757.83326110000,"050-008886","050-008886-00","050-N044KAA-27300",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2001,,,A - AVERAGE,0.958,1128,1.69,1.054,1.2,69,,1128,329,2585,1142,319400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,319400,0,39760,111790
"050-008887",439.23138174600,11647.74641650000,"050-008887","050-008887-00","050-N044KAA-27400",1,7,3,1,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,900,2 - STUCCO,,0,2 - HEAT/AIR CON,4,15,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,,2000,,,A - AVERAGE,0.785,832,1.69,1,1.2,69,,832,792,2456,845,359900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,359900,0,39760,125970
"050-008888",459.49539617700,13528.91065500000,"050-008888","050-008888-00","050-N044KAA-27500",1,8,4,1,,3,0,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,800,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,4,13,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2004,,,A - AVERAGE,0.89,1011,1.69,1.027,1.2,71,,1011,446,2468,1022,374600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,376300,0,38500,131710
"050-008889",508.67269549300,16123.47836760000,"050-008889","050-008889-00","050-N044KAA-27600",1,6,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,500,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,5,11,,,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2002,,,A - AVERAGE,1.523,2095,1,1.016,1.2,70,,2095,12,2107,2109,333600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,333600,0,38500,116760
"050-008890",469.75562232500,13316.30259350000,"050-008890","050-008890-00","050-N044KAA-27700",1,8,4,1,,2,1,"1","09 - COLONIAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2002,,,A - AVERAGE,0.902,1032,1.69,1,1.2,70,,1032,600,2664,1053,355500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,355500,0,38500,124430
"050-008891",602.29683302500,21227.66251560000,"050-008891","050-008891-00","050-N044KAA-27800",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,5,13,1,1,3 - 3 Car Spaces,,,B+1 - GOOD +,,2001,,,A - AVERAGE,1.034,1258,1.69,1.054,1.3,69,,1258,469,2985,1274,393500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,115500,393500,0,40430,137730
"050-008892",635.18247504000,19753.21307470000,"050-008892","050-008892-00","050-N044KAA-27900",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2001,,,A - AVERAGE,0.868,974,1.69,1,1.2,69,,974,542,2490,987,303400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,115500,303400,0,40430,106190
"050-008893",607.88514610200,21820.07751990000,"050-008893","050-008893-00","050-N044KAA-28000",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,5,13,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2001,,,A - AVERAGE,0.958,1128,1.69,1.054,1.2,69,,1128,352,2608,1153,352600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,115500,357200,0,40430,125020
"050-008894",481.86530899400,13870.82810770000,"050-008894","050-008894-00","050-N044KAA-28100",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2001,,,A - AVERAGE,0.816,885,1.69,1.027,1.2,69,,885,497,2267,897,287600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,287600,0,38500,100660
"050-008895",518.45537554500,16627.48027280000,"050-008895","050-008895-00","050-N044KAA-28200",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2001,,,A - AVERAGE,0.958,1128,1.69,1.027,1.2,69,,1128,329,2585,1144,317700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,317700,0,38500,111200
"050-008896",439.43275364900,11658.77349410000,"050-008896","050-008896-00","050-N044KAA-28300",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,4,12,1,1,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.907,1040,1.69,1.054,1.15,69,,1040,552,2632,1056,311000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,311000,0,39760,108850
"050-008897",439.57705387600,11676.05628540000,"050-008897","050-008897-00","050-N044KAA-28400",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,1 - WD/ALUM/VINYL,,,2 - HEAT/AIR CON,4,12,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,,2002,,,A - AVERAGE,0.787,836,1.69,1,1.2,70,,836,888,2560,850,312100,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,312100,0,39760,109240
"050-008898",439.42934888400,11668.98698680000,"050-008898","050-008898-00","050-N044KAA-28500",1,7,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,4,10,1,1,2 - 2 Car Spaces,,,B-1 - GOOD -,,2000,,,A - AVERAGE,1.523,2096,1,1.032,1.15,69,,2096,24,2120,2107,271300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,271300,0,39760,94960
"050-008899",439.33258419300,11668.09883410000,"050-008899","050-008899-00","050-N044KAA-28600",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,92 - 2/6 MASONRY TO FRAME .333,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2002,,,A - AVERAGE,0.874,984,1.69,1.054,1.2,70,,984,714,2682,999,334300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,334300,0,39760,117010
"050-008900",439.33352463200,11668.78817980000,"050-008900","050-008900-00","050-N044KAA-28700",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,5,13,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2003,,,A - AVERAGE,0.959,1129,1.69,1.027,1.2,70,,1129,370,2628,1143,325600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,325600,0,39760,113960
"050-008901",439.18833203800,11674.23400840000,"050-008901","050-008901-00","050-N044KAA-28800",1,7,3,1,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,3,9,1,1,2 - 2 Car Spaces,,,B - GOOD QUALITY,,2004,,,A - AVERAGE,1.656,2323,1,1.016,1.2,71,,2323,16,2339,2332,303500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,303500,0,39760,106230
"050-008902",468.64375965800,14128.67253630000,"050-008902","050-008902-00","050-N044KAA-28900",1,10,6,1,,4,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,5,19,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2004,,,A - AVERAGE,1.133,1428,1.69,1.027,1.2,71,,1428,889,3745,1442,440400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,441900,0,38500,154670
"050-008903",439.37019887700,11671.85551330000,"050-008903","050-008903-00","050-N044KAA-29000",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2004,,,A - AVERAGE,1.001,1202,1.69,1.027,1.2,71,,1202,236,2640,1214,328900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,328900,0,39760,115120
"050-008904",439.40956874100,11673.07127060000,"050-008904","050-008904-00","050-N044KAA-29100",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,5,13,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2005,,,A - AVERAGE,0.627,562,1.69,1.027,1.2,72,,562,1370,2494,586,343300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,339400,0,39760,118790
"050-008905",439.29373496000,11667.69066410000,"050-008905","050-008905-00","050-N044KAA-29200",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B+1 - GOOD +,,2003,,,A - AVERAGE,0.744,762,1.69,1.027,1.3,70,,762,987,2511,783,360700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,360700,0,39760,126250
"050-008906",439.30388145400,11670.47952960000,"050-008906","050-008906-00","050-N044KAA-29300",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B - GOOD QUALITY,,2005,,,A - AVERAGE,0.69,670,1.69,1.027,1.2,72,,670,1534,2874,689,352000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,352000,0,39760,123200
"050-008907",439.14874201300,11600.20376620000,"050-008907","050-008907-00","050-N044KAA-29400",1,8,4,1,,3,0,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,700,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,5,14,1,1,3 - 3 Car Spaces,,,B - GOOD QUALITY,,2003,2023,2023,G - GOOD,0.793,845,1.69,1.027,1.2,80,,845,606,2296,863,395700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,113600,395700,0,39760,138500
"050-008908",442.48157519100,12043.39702040000,"050-008908","050-008908-00","050-N044KAA-29500",1,6,3,,,2,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,,2 - STUCCO,,,2 - HEAT/AIR CON,4,10,,,3 - 3 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,1.589,2209,1,1,1.15,70,,2209,12,2221,2219,276500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,276500,0,38500,96780
"050-008909",486.14114299400,15226.27480940000,"050-008909","050-008909-00","050-N044KAA-29600",1,8,4,1,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,2,13,,,2 - 2 Car Spaces,,,B - GOOD QUALITY,,2005,,,A - AVERAGE,0.546,422,1.69,1.027,1.2,72,,422,1652,2496,440,302800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,302800,0,38500,105980
"050-008910",5717.39761470000,570558.71744799998,"050-008910","050-008910-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,Base,500,500 - VACANT PLATTED RES LAND,12500,0,0,4380,0
"050-008911",410.00146027000,9750.63918886000,"050-008911","050-008911-00","050-N044KAA-29700",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",8 - 1/2 BASEMENT 1/2 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.723,726,1.69,1.027,1.15,69,,726,433,1885,737,235800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,235800,0,37870,82530
"050-008912",409.89979243000,9744.01815031000,"050-008912","050-008912-00","050-N044KAA-29800",1,8,4,1,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,850,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,4,15,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.746,765,1.69,1.027,1.15,70,,765,378,1908,777,279800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,279800,0,37870,97930
"050-008913",410.09870081800,9756.98243934000,"050-008913","050-008913-00","050-N044KAA-29900",1,6,3,,,3,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,1350,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,4,15,,,3 - 3 Car Spaces,,,B-1 - GOOD -,,2002,2006,2006,A - AVERAGE,0.516,372,1.69,1.027,1.15,70,,372,1908,2652,398,413800,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,413800,0,37870,144830
"050-008914",409.89928414700,9744.07921735000,"050-008914","050-008914-00","050-N044KAA-30000",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.627,562,1.69,1.027,1.15,70,,562,804,1928,574,252400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,252400,0,37870,88340
"050-008915",409.89762010200,9743.97775621000,"050-008915","050-008915-00","050-N044KAA-30100",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,1,2,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,2006,2006,A - AVERAGE,0.787,836,1.69,1.027,1.15,70,,836,766,2438,852,294500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,294500,0,37870,103080
"050-008916",410.10507692100,9757.24377292000,"050-008916","050-008916-00","050-N044KAA-30200",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.627,562,1.69,1.027,1.15,70,,562,804,1928,578,260300,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,260300,0,37870,91110
"050-008917",409.90725570300,9744.42777272000,"050-008917","050-008917-00","050-N044KAA-30300",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.746,765,1.69,1.027,1.15,70,,765,378,1908,777,243900,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,243900,0,37870,85370
"050-008918",410.10464201000,9757.21762825000,"050-008918","050-008918-00","050-N044KAA-30400",1,8,4,1,,4,1,"1","03 - MULTI-LEVEL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,500,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,18,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.618,546,1.69,1.027,1.15,69,,546,1659,2751,568,337200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,337200,0,37870,118020
"050-008919",409.90827132200,9744.37502308000,"050-008919","050-008919-00","050-N044KAA-30500",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.746,765,1.69,1.027,1.15,70,,765,270,1800,775,246700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,246700,0,37870,86350
"050-008920",410.00682335500,9750.75005074000,"050-008920","050-008920-00","050-N044KAA-30600",1,7,4,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.838,922,1.69,1.027,1.15,69,,922,540,2384,934,277700,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,277700,0,37870,97200
"050-008921",410.01327197500,9751.01875764000,"050-008921","050-008921-00","050-N044KAA-30700",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.787,836,1.69,1.027,1.15,70,,836,790,2462,851,292400,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,292400,0,37870,102340
"050-008922",447.59624870500,10957.79827160000,"050-008922","050-008922-00","050-N044KAA-30800",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,800,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,4,12,1,1,3 - 3 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.863,965,1.69,1.027,1.15,69,,965,641,2571,981,358000,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,358000,0,38500,125300
"050-008923",422.65809434400,10505.92184340000,"050-008923","050-008923-00","050-N044KAA-30900",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.627,562,1.69,1.027,1.15,70,,562,870,1994,579,269600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,111000,269600,0,38850,94360
"050-008924",412.26455723700,9836.18179743000,"050-008924","050-008924-00","050-N044KAA-31000",1,8,4,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.876,987,1.69,1.027,1.15,69,,987,732,2706,1003,319600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,319600,0,37870,111860
"050-008925",421.78345268600,10471.29512810000,"050-008925","050-008925-00","050-N044KAA-31100",1,7,3,1,,3,,"1","05 - RANCH",1 - 1 Story,"0 - NO ATTIC",B - FULL BASEMENT,800,91 - 1/6 MASONRY TO FRAME .167,,0,2 - HEAT/AIR CON,7,16,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,2006,2006,A - AVERAGE,1.354,1807,1,1.016,1.15,70,,1807,0,1807,1814,296200,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,295700,0,38500,103500
"050-008926",411.35028979400,9801.57260467000,"050-008926","050-008926-00","050-N044KAA-31200",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.746,765,1.69,1.027,1.15,70,,765,394,1924,778,248500,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,248500,0,37870,86980
"050-008927",410.77609281600,9774.57150766000,"050-008927","050-008927-00","050-N044KAA-31300",1,6,3,,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",9 - 3/4 BASEMENT 1/4 CRAWL,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2001,,,A - AVERAGE,0.583,486,1.69,1.027,1.15,69,,486,1824,2796,511,329600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,108200,329600,0,37870,115360
"050-008928",420.62868958200,10427.75142470000,"050-008928","050-008928-00","050-N044KAA-31400",1,7,3,1,,2,1,"1","01 - CONVENTIONAL",2 - 2 Story,"0 - NO ATTIC",B - FULL BASEMENT,,91 - 1/6 MASONRY TO FRAME .167,,,2 - HEAT/AIR CON,4,12,,,2 - 2 Car Spaces,,,B-1 - GOOD -,,2002,,,A - AVERAGE,0.627,562,1.69,1.027,1.15,70,,562,804,1928,574,254600,2024,Base,510,510 - ONE-FAMILY DWLG ON PLATTED LOT,110000,254600,0,38500,89110
